Right,1,Right,0.45,,0.9310488891
Forward,Down,Down,,,
Roll Left,1,Roll Left,2,,
Pitch Down,NR,NR,,,
Left,1,Left,2.5,,
Backward,1,Backward,1.32,,
Down,1,Down,0.76,,
Up,1,Up,5.5,,
Roll Right,1,Roll Right,1.27,,
Pitch Up,1,Pitch Up,0.92,,
Yaw Left,1,Yaw Left,3.68,,
Yaw Right,1,Yaw Right,3.2,,
Right,1,Right,0.62,,
Forward,Backward,Backward,,,
Roll Left,1,Roll Left,2.1,,
Pitch Down,1,Pitch Down,1.12,,
Left,1,Left,2.23,,
Backward,1,Backward,1.52,,
Down,1,Down,0.6,,
Up,1,Up,0.55,,
Roll Right,1,Roll Right,0.82,,
Pitch Up,1,Pitch Up,0.73,,
Yaw Left,Yaw Right,Yaw Right,,,
Yaw Right,1,Yaw Right,1.82,,
Right,1,Right,0.5,,
Forward,Backward,Backward,,,
Roll Left,1,Roll Left,2.2,,
Pitch Down,1,Pitch Down,1.1,,
Left,1,Left,1.08,,
Backward,1,Backward,0.73,,
Down,Backward,Backward,,,
Up,Down,Down,,,
Roll Right,1,Roll Right,3.1,,
Pitch Up,1,Pitch Up,1.4,,
Yaw Left,1,Yaw Left,3.5,,
Yaw Right,1,Yaw Right,2.03,,
Right,1,Right,0.51,,
Forward,Down,Down,,,
Roll Left,Right,Right,,,
Pitch Down,1,Pitch Down,1.93,,
Left,1,Left,2.5,,
Backward,1,Backward,2.9,,
Down,1,Down,2.73,,
Up,Down,Down,,,
Roll Right,1,Roll Right,0.56,,
Pitch Up,Ptich Up,Ptich Up,,,
Yaw Left,1,Yaw Left,1.06,,
Yaw Right,Yaw Left,Yaw Left,,,
Right,1,Right,1.08,,
Forward,1,Forward,1.39,,
Roll Left,Roll Right,Roll Right,,,
Pitch Down,1,Pitch Down,0.53,,
Left,1,Left,1.25,,
Backward,1,Backward,1.56,,
Down,1,Down,1.67,,
Up,1,Up,2.55,,
Roll Right,1,Roll Right,1.15,,
Pitch Up,1,Pitch Up,0.4,,
Yaw Left,1,Yaw Left,1.96,,
Yaw Right,1,Yaw Right,2.88,,
Right,1,Right,0.67,,
Forward,1,Forward,1.16,,
Roll Left,Roll Right,Roll Right,,,
Pitch Down,Pitch Up,Pitch Up,,,
Left,1,Left,2.95,,
Backward,Forward,Forward,,,
Down,1,Down,0.62,,
Up,Down,Down,,,
Roll Right,1,Roll Right,0.53,,
Pitch Up,1,Pitch Up,0.62,,
Yaw Left,1,Yaw Left,2.59,,
Yaw Right,1,Yaw Right,0.7,,
Right,1,Right,0.69,,
Forward,1,Forward,0.57,,
Roll Left,1,Roll Left,3.2,,
Pitch Down,1,Pitch Down,2.66,,
Left,1,Left,1.13,,
Backward,1,Backward,1.01,,
Down,1,Down,0.59,,
Up,1,Up,1.79,,
Roll Right,1,Roll Right,1.32,,
Pitch Up,1,Pitch Up,0.76,,
Yaw Left,1,Yaw Left,1.23,,
Yaw Right,1,Yaw Right,0.95,,
Right,1,Right,1.19,,
Forward,Backward,Backward,,,
Roll Left,1,Roll Left,2.85,,
Pitch Down,1,Pitch Down,1.65,,
Left,Roll Left,Roll Left,,,
Backward,1,Backward,1.36,,
Down,1,Down,1.61,,
Up,1,Up,2.36,,
Roll Right,1,Roll Right,0.27,,
Pitch Up,1,Pitch Up,1.5,,
Yaw Left,1,Yaw Left,1.46,,
Yaw Right,Yaw Left,Yaw Left,,,
Right,1,Right,0.56,,
Forward,Backward,Backward,,,
Roll Left,Backward,Backward,,,
Pitch Down,1,Pitch Down,1.27,,
Left,1,Left,1.35,,
Backward,1,Backward,2.97,,
Down,1,Down,0.97,,
Up,1,Up,1.14,,
Roll Right,1,Roll Right,1.15,,
Pitch Up,1,Pitch Up,1.2,,
Yaw Left,1,Yaw Left,3.97,,
Yaw Right,1,Yaw Right,2.11,,
Right,1,Right,4.91,,
Forward,Backward,Backward,,,
Roll Left,1,Roll Left,3.36,,
Pitch Down,1,Pitch Down,1.26,,
Left,1,Left,2.67,,
Backward,1,Backward,1.68,,
Down,1,Down,0.75,,
Up,1,Up,1.11,,
Roll Right,1,Roll Right,0.45,,
Pitch Up,1,Pitch Up,1.9,,
Yaw Left,1,Yaw Left,2.9,,
Yaw Right,1,Yaw Right,2.05,,
Right,1,Right,1.72,,
Forward,1,Forward,0.9,,
Roll Left,Roll Right,Roll Right,0.61,,
Pitch Down,1,Pitch Down,0.77,,
Left,1,Left,0.98,,
Backward,1,Backward,0.64,,
Down,1,Down,0.78,,
Up,1,Up,0.66,,
Roll Right,1,Roll Right,1.54,,
Pitch Up,1,Pitch Up,0.83,,
Yaw Left,1,Yaw Left,1.4,,
Yaw Right,1,Yaw Right,1.27,,
Right,1,Right,0.46,,
Forward,1,Forward,1.25,,
Roll Left,1,Roll Left,,,
Pitch Down,1,Pitch Down,1.55,,
Left,1,Left,1.1,,
Backward,1,Backward,0.65,,
Down,1,Down,1.54,,
Up,1,Up,1.19,,
Roll Right,1,Roll Right,1.09,,
Pitch Up,1,Pitch Up,1.56,,
Yaw Left,1,Yaw Left,2.23,,
Yaw Right,1,Yaw Right,0.75,,
Right,1,Right,0.53,,
Forward,Right,Right,,,
Roll Left,1,Roll Left,2.9,,
Pitch Down,1,Pitch Down,2.6,,
Left,1,Left,2.03,,
Backward,1,Backward,2.5,,
Down,1,Down,1.4,,
Up,1,Up,2.81,,
Roll Right,1,Roll Right,1.02,,
Pitch Up,1,Pitch Up,1.89,,
Yaw Left,1,Yaw Left,1.81,,
Yaw Right,1,Yaw Right,2.3,,
Right,1,Right,1.76,,
Forward,1,Forward,1.73,,
Roll Left,1,Roll Left,2.59,,
Pitch Down,1,Pitch Down,1.9,,
Left,1,Left,1.33,,
Backward,1,Backward,1.65,,
Down,1,Down,0.99,,
Up,1,Up,1.32,,
Roll Right,1,Roll Right,0.97,,
Pitch Up,1,Pitch Up,1.55,,
Yaw Left,1,Yaw Left,1.02,,
Yaw Right,1,Yaw Right,2.72,,